Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register
99,Shri  T.R.  Baalu,29,3
98,Shri  Sheesh Ram  Ola,29,3
97,Shri  P.  Viswanathan,30,2
94,Shri  Takam  Sanjoy,25,7
93,Shri  Mohammad Asrarul  Haque,30,2
92,Shri  Ismail Hussain,32,0
91,Shri  Ramesh  Kumar,31,1
90,Shri  Mahabal  Mishra,31,1
89,Shri  Ravneet  Singh,31,1
88,Shri  Sabbam  Hari,25,7
85,Shri  Vijay Inder  Singla,27,5
84,Shri  K.C.  Singh Baba,25,7
83,Shri  Ashok  Tanwar,29,3
82,Shri  Hamdullah  Sayeed,32,0
81,Shri  Mohammed  Azharuddin,25,7
80,Chaudhary  Lal  Singh,30,2
79,Shri  Madan Lal  Sharma,31,1
78,Shri  Vincent H.  Pala,12,20
78,Shri  Vijay  Bahuguna,32,0
77,Shri  Satpal  Maharaj,28,4
76,Shri  Madhu Goud  Yaskhi,31,1
75,Shri  Naveen  Jindal,28,4
73,Shri  J.M.  Aaron Rashid,28,4
72,Shri  Sandeep  Dikshit,29,3
71,Shri  Lal Chand  Kataria,31,1
70,Dr.  Krupa Rani  Killi,32,0
69,Shri  P.  Balram  Naik,25,7
68,Smt.  Deepa  Dasmunsi,25,7
67,Shri  Ninong  Ering,32,0
66,Shri   Sarvey  Sathyanarayana,29,3
65,Smt.  Ranee  Narah,24,8
64,Shri  Adhir Ranjan  Chowdhury,26,6
63,Shri  A.H.   Khan  Choudhury,30,2
62,Shri  K. J.S.P.  Reddy,26,6
61,Shri  Rahul  Gandhi,24,8
60,Shri    Kodikunnil  Suresh,29,3
59,Shri  Milind  Deora,31,1
58,Dr.  Charan Das  Mahant,31,1
57,Shri  K. C.  Venugopal,28,4
55,Dr.  Shashi  Tharoor,15,17
550,Smt.  Jat Poonamben  Veljibhai,28,4
549,Shri  Murarilal  Singh,24,8
548,Shri  Nalin Kumar  Kateel,19,13
547,Shri    Naranbhai   Kachhadia,30,2
546,Shri  Natubhai Gomanbhai  Patel,23,9
545,Shri  Nishikant  Dubey,31,1
544,Smt.  Jayshreeben  Kanubhai    Patel,29,3
543,Ms.  J.  Shantha,19,13
542,Smt.  Jyoti  Dhurve,27,5
541,Smt.  Kamla Devi  Patle,22,10
540,Shri  Janardhana  Swamy,21,11
53,Shri  Pratik  Patil,27,5
539,Shri  K. D.  Deshmukh,16,16
538,Dr.  Kiritbhai  Premajibhai    Solanki,31,1
537,Shri  Lalubhai  B.  Patel,27,5
536,Shri  Madhusudan  Yadav,13,19
535,Shri  Chauhan  Mahendrasinh,32,0
534,Shri  Makhansingh  Solanki,24,8
533,Shri  Pradeep Kumar  Singh,25,7
532,Shri  Sonawane  Pratap Narayanrao,27,5
531,Shri  Shivraj  Bhaiya,31,1
530,Shri  A.T. Nana  Patil,30,2
52,Dr.  Tusharbhai   A.  Chaudhari,7,25
529,Shri  Arjun Ram  Meghwal,32,0
528,Shri  B. Y.  Raghavendra,19,13
527,Shri  Balkrishna Khanderao  Shukla,27,5
526,Shri  C. R.  Patil,24,8
525,Shri  Devji M.  Patel,28,4
524,Dr.  Bhola  Singh,28,4
523,Shri  Devidhan  Besra,27,5
521,Shri  Pashupati Nath  Singh,31,1
520,Shri  Prabhatsinh  Pratapsinh Chauhan,28,4
519,Dr.  Sanjay  Jaiswal,25,7
518,Shri  Sudarshan  Bhagat,29,3
517,Shri  Bhupendra  Singh,28,4
516,Shri  Chandulal Sahu  Chandu Bhaiya,29,3
515,Shri  Dinubhai  Boghabhal   Solanki,4,28
514,Shri  Govind Prasad  Mishra,32,0
513,Shri  Uday  Singh,25,7
512,Shri  Bishnu Pada  Ray,29,3
511,Shri  Dushyant  Singh,18,14
510,Shri   G.M.  Siddeswara,22,10
509,Shri  Haribhau  Jawale,31,1
508,Shri  Harischandra Deoram  Chavan,27,5
507,Shri  Navjot Singh  Sidhu,7,25
506,Shri  P.C.  Gaddigoudar,32,0
505,Shri  Sanjay  Dhotre,20,12
504,Shri  Prahlad  Joshi,26,6
503,Shri  Kirti  Azad,30,2
502,Shri  Ravindra Kumar  Pandey,21,11
501,Shri  Ramesh Chandappa  Jigajinagi,18,14
500,Shri  Ramsinhbhai Patalbhai  Rathwa,29,3
499,Shri  Sohan  Potai,28,4
498,Shri  Hansraj Gangaram  Ahir,23,9
497,Shri  Rajen  Gohain,25,7
496,Shri  Raosaheb  Dadarao  Danve,23,9
495,Shri  Anurag Singh  Thakur,27,5
494,Shri  Rakesh  Singh,29,3
493,Shri  Ganesh  Singh,28,4
492,Shri    Virendra Kumar,31,1
491,Shri  Ashok  Argal,28,4
490,Shri  Lalji  Tandon,30,2
490,Shri  Baliram  Kashyap,1,31
489,Shri  D.B. Chandre  Gowda,19,13
488,Shri  G.S.  Basavaraj,29,3
487,Shri  Mansukhbhai Dhanjibhai  Vasava,29,3
486,Shri  Ram Singh  Kaswan,30,2
484,Shri  Anant Kumar  Hegde,19,13
483,Shri  Dilip Kumar Mansukhlal  Gandhi,29,3
482,Shri  Nikhil Kumar  Choudhary,29,3
481,Shri  Shripad Yesso  Naik,24,8
480,Shri  Radha Mohan  Singh,29,3
479,Shri  Vishnu Deo  Sai,22,10
478,Smt.  Yashodhara Raje  Scindia,32,0
478,Shri  D.V. Sadananda  Gowda,17,15
477,Shri  Narendra Singh  Tomar,28,4
476,Shri  Rajendrasinh  Rana,27,5
475,Shri  Yogi  Adityanath,28,4
