Id,Name,DaysSigned,DaysMissed,Gender,State,Party,Constituency
3,Smt.  Sonia  Gandhi,9,17,0,Uttar Pradesh,INC,Rai Bareli
11,Shri  Ajit  Singh,13,13,1,Uttar Pradesh,RJD,Baghpat
14,Shri  Paban Singh  Ghatowar,25,1,1,Assam,INC,Dibrugarh
24,Shri  V. Kishore Chandra S.  Deo,26,0,1,Andhra Pradesh,INC,Aruku
25,Shri  Beni Prasad  Verma,26,0,1,Uttar Pradesh,INC,Gonda
29,Shri  Harish  Rawat,25,1,1,Uttarakhand,INC,Hardwar
30,Smt.  Chandresh  Kumari,24,2,0,Rajasthan,INC,Jodhpur
38,Shri  Jitender  Singh,20,6,1,Haryana,INC,Sonipat
39,Shri  Manish  Tewari,25,1,1,Punjab,INC,Ludhiana
53,Shri  Pratik  Patil,16,10,1,Maharashtra,INC,Sangli
55,Dr.  Shashi  Tharoor,19,7,1,Kerala,INC,Thiruvananthapuram
57,Shri  K. C.  Venugopal,22,4,1,Kerala,INC,Alappuzha
58,Dr.  Charan Das  Mahant,24,2,1,Chattisgarh,INC,Korba
59,Shri  Milind  Deora,21,5,1,Maharashtra,INC,Mumbai South
60,Shri    Kodikunnil  Suresh,19,7,1,Kerala,INC,Mavelikkara
62,Shri  K. J.S.P.  Reddy,11,15,1,Andhra Pradesh,INC,
63,Shri  A.H.   Khan  Choudhury,24,2,1,West Bengal,INC,Maldaha Dakshin
64,Shri  Adhir Ranjan  Chowdhury,24,2,1,West Bengal,INC,Baharampur
65,Smt.  Ranee  Narah,25,1,0,Assam,INC,Lakhimpur
66,Shri   Sarvey  Sathyanarayana,23,3,1,Andhra Pradesh,INC,
67,Shri  Ninong  Ering,24,2,1,Arunachal Pradesh,INC,
68,Smt.  Deepa  Dasmunsi,23,3,0,West Bengal,INC,
69,Shri  P.  Balram  Naik,20,6,1,Andhra Pradesh,INC,
70,Dr.  Krupa Rani  Killi,23,3,0,Andhra Pradesh,INC,
71,Shri  Lal Chand  Kataria,23,3,1,Rajasthan,INC,
72,Shri  Sandeep  Dikshit,24,2,1,NCT of Delhi,INC,
73,Shri  J.M.  Aaron Rashid,8,18,1,Tamil Nadu,INC,
75,Shri  Naveen  Jindal,22,4,1,Haryana,INC,
76,Shri  Madhu Goud  Yaskhi,23,3,1,Andhra Pradesh,INC,
77,Shri  Satpal  Maharaj,23,3,1,Uttarakhand,INC,
78,Shri  Vijay  Bahuguna,24,2,1,Uttarakhand,INC,
78,Shri  Vijay  Bahuguna,24,2,1,Meghalaya,INC,
79,Shri  Madan Lal  Sharma,26,0,1,Jammu and Kashmir,INC,
80,Chaudhary  Lal  Singh,25,1,1,Jammu and Kashmir,INC,
81,Shri  Mohammed  Azharuddin,22,4,1,Uttar Pradesh,INC,
82,Shri  Hamdullah  Sayeed,24,2,1,Lakshadweep,INC,
83,Shri  Ashok  Tanwar,22,4,1,Haryana,INC,
84,Shri  K.C.  Singh Baba,18,8,1,Uttarakhand,INC,
85,Shri  Vijay Inder  Singla,19,7,1,Punjab,INC,
88,Shri  Sabbam  Hari,25,1,1,Andhra Pradesh,INC,
89,Shri  Ravneet  Singh,18,8,1,Punjab,INC,
90,Shri  Mahabal  Mishra,23,3,1,NCT of Delhi,INC,
91,Shri  Ramesh  Kumar,26,0,1,NCT of Delhi,INC,
92,Shri  Ismail Hussain,26,0,1,Assam,INC,
93,Shri  Mohammad Asrarul  Haque,25,1,1,Bihar,INC,
94,Shri  Takam  Sanjoy,21,5,1,Arunachal Pradesh,INC,
97,Shri  P.  Viswanathan,16,10,1,Tamil Nadu,INC,
98,Shri  Sheesh Ram  Ola,25,1,1,Rajasthan,INC,
99,Shri  T.R.  Baalu,23,3,1,Tamil Nadu,DMK,
100,Shri  Vilasrao Baburao  Muttemwar,16,10,1,Maharashtra,INC,
101,Shri  Manikrao Hodlya  Gavit,23,3,1,Maharashtra,INC,
102,Shri  Suresh  Kalmadi,3,23,1,Maharashtra,INC,
106,Dr.    Chinta Mohan,17,9,1,Andhra Pradesh,INC,Tirupathi
107,Shri  Biren Singh  Engti,26,0,1,Assam,INC,
108,Dr.  Kavuri Samba Siva  Rao,18,8,1,Andhra Pradesh,INC,Eluru
110,Shri  Jai Prakash  Agarwal,26,0,1,NCT of Delhi,INC,
112,Shri  Datta  Meghe,25,1,1,Maharashtra,INC,
113,Shri   Rayapati S.  Rao,17,9,1,Andhra Pradesh,INC,Guntur
115,Dr.  Manda  Jagannath,25,1,1,Andhra Pradesh,INC,Nagarkurnool
116,Shri  A. Venkatarami  Reddy,22,4,1,Andhra Pradesh,INC,Anantapur
117,Shri  Somabhai Gandalal Koli  Patel,24,2,1,Gujarat,INC,
118,Shri  Avtar Singh  Bhadana,14,12,1,Haryana,INC,
119,Shri  P.C.  Chacko,21,5,1,Kerala,INC,Thrissur
120,Dr.  Girija  Vyas,22,4,0,Rajasthan,INC,Chittorgarh
121,Shri  Inderjit Singh  Rao,14,12,1,Haryana,INC,Gurgaon
123,Shri  Sanjay  Nirupam,24,2,1,Maharashtra,INC,Mumbai North
124,Shri  Dip  Gogoi,19,7,1,Assam,INC,Kaliabor
126,Shri  Francisco  Sardinha,26,0,1,Goa,INC,South Goa
127,Shri  Magunta Srinivasulu  Reddy,17,9,1,Andhra Pradesh,INC,Ongole
128,Shri  N.S.V.  Chitthan,22,4,1,Tamil Nadu,INC,Dindigul
129,Dr.  Arvind Kumar  Sharma,23,3,1,Haryana,INC,
130,Dr.  Sanjay  Singh,26,0,1,Uttar Pradesh,INC,
131,Shri  Jayant  Chaudhary,23,3,1,Uttar Pradesh,RLD,
132,Shri  Bhaskarrao  Patil  Khatgaonkar,16,10,1,Maharashtra,INC,
133,Shri  Deepender Singh  Hooda,21,5,1,Haryana,INC,
134,Shri  Bhakta Charan  Das,22,4,1,Orissa,INC,
135,Shri  Tarachand  Bhagora,15,11,1,Rajasthan,INC,
137,Rajkumari  Ratna  Singh,25,1,0,Uttar Pradesh,INC,
138,Smt.  Priya  Dutt,14,12,0,Maharashtra,INC,
139,Smt.  Santosh  Chowdhary,25,1,0,Punjab,INC,
140,Sardar  Sukhdev  Singh    Libra,26,0,1,Punjab,INC,
141,Shri  Gajendra Singh  Rajukhedi,24,2,1,Madhya Pradesh,INC,
142,Shri  Sanjay Singh  Chauhan,24,2,1,Uttar Pradesh,RLD,
143,Shri  Anjan Kumar  Yadav. M,14,12,1,Andhra Pradesh,INC,Secunderabad
144,Shri  Gutha  Sukender Reddy,21,5,1,Andhra Pradesh,INC,Nalgonda
145,Shri  G.V.  Harsha Kumar,18,8,1,Andhra Pradesh,INC,Amalapuram
146,Shri  Aruna Kumar  Vundavalli,26,0,1,Andhra Pradesh,INC,Rajahmundry
147,Shri  S.P.Y.  Reddy,9,17,1,Andhra Pradesh,INC,Nandyal
148,Shri  Lalit  Mohan  Suklabaidya,25,1,1,Assam,INC,
149,Shri  Vikrambhai Arjanbhai  Maadam    Ahir,18,8,1,Gujarat,INC,
150,Shri    Lagadapati   Rajagopal,24,2,1,Andhra Pradesh,INC,Vijayawada
151,Smt.    Botcha Jhansi Lakshmi,26,0,0,Andhra Pradesh,INC,Vizianagaram
153,Shri    Bapiraju  Kanumuru,26,0,1,Andhra Pradesh,INC,Narasapur
154,Shri  Kishan V.  Patel,22,4,1,Gujarat,INC,
155,Shri  Eknath  Gaikwad,26,0,1,Maharashtra,INC,
156,Dr.  Thokchom  Meinya,26,0,1,Manipur,INC,
157,Shri  M.  Krishnaswamy,22,4,1,Tamil Nadu,INC,
158,Dr.  Nirmal  Khatri,25,1,1,Uttar Pradesh,INC,
160,Smt.  Shruti  Choudhry,25,1,0,Haryana,INC,
161,Dr.  Prabha Kishore  Taviad,26,0,0,Gujarat,INC,
162,Smt.  Rajesh Nandini  Singh,25,1,0,Madhya Pradesh,INC,
163,Ms.  Mausam  Noor,22,4,0,West Bengal,INC,
164,Smt.  Sarika  D.S. Baghel,26,0,0,Uttar Pradesh,RLD,
165,Smt.  Annu  Tandon,26,0,0,Uttar Pradesh,INC,
166,Smt.  Meenakshi  Natrajan,23,3,0,Madhya Pradesh,INC,
167,Dr.  Jyoti  Mirdha,25,1,0,Rajasthan,INC,
168,Shri  Devendra  Nagpal,17,9,1,Uttar Pradesh,RLD,
169,Shri  Manicka  Tagore,26,0,1,Tamil Nadu,INC,
170,Shri  Prabhakar  Ponnam,26,0,1,Andhra Pradesh,INC,
171,Shri  Sajjan Singh  Verma,24,2,1,Madhya Pradesh,INC,
172,Shri  Abdul Mannan  Hossain,10,16,1,West Bengal,INC,
173,Shri  S.  Alagiri,10,16,1,Tamil Nadu,INC,
174,Shri  Basori Singh  Masram,25,1,1,Madhya Pradesh,INC,
175,Shri  Kuvarjibhai Mohanbhai  Bavalia,13,13,1,Gujarat,INC,
176,Shri   Vitthalbhai  Harnsrajbhai   Radadiya,4,22,1,Gujarat,INC,
177,Dr.  G.  Vivekanand,19,7,1,Andhra Pradesh,INC,
178,Shri  Suresh Kumar  Shetkar,21,5,1,Andhra Pradesh,INC,
179,Shri  Mukeshkumar  Bheiravdanji  Gadhvi,22,4,1,Gujarat,INC,
180,Shri  Jagdish  Thakor,19,7,1,Gujarat,INC,
181,Shri  Adagooru  Vishwanath,7,19,1,Karnataka,INC,
182,Shri  R.  Dhruvanarayana,21,5,1,Karnataka,INC,
183,Shri  K.  Sudhakaran,18,8,1,Kerala,INC,Kannur
185,Shri  M. K.  Raghavan,20,6,1,Kerala,INC,Kozhikode
186,Shri  K. P.  Dhanapalan,26,0,1,Kerala,INC,Chalakudy
187,Shri  Dara Singh  Chauhan,22,4,1,Uttar Pradesh,BSP,
188,Shri    Lalu Prasad,23,3,1,Bihar,RJD,
190,Shri  T.K.S.  Elangovan,26,0,1,Tamil Nadu,DMK,
191,Shri  Sudip  Bandyopadhyay,26,0,1,West Bengal,AITC,
192,Smt.  Supriya  Sule,22,4,0,Maharashtra,NCP,
193,Shri   Udayanraje  Bhonsle,16,10,1,Maharashtra,NCP,
194,Shri  Sameer  Bhujbal,24,2,1,Maharashtra,NCP,
195,Shri  D.  Venugopal,16,10,1,Tamil Nadu,AIADMK,
196,Shri  Kalyan  Banerjee,20,6,1,West Bengal,AITC,
197,Shri  A.K.S.  Vijayan,16,10,1,Tamil Nadu,DMK,
198,Shri  E.G.  Sugavanam,18,8,1,Tamil Nadu,DMK,
199,Shri    Adhi Sankar,15,11,1,Tamil Nadu,DMK,
200,Dr.  Sanjeev Ganesh  Naik,26,0,1,Maharashtra,NCP,
201,Shri  Asaduddin  Owaisi,14,12,1,Andhra Pradesh,AIMIM,Hyderabad
202,Shri  Sansuma Khunggur  Bwiswmuthiary,20,6,1,Assam,BPF,
203,Dr.  Raghuvansh Prasad  Singh,25,1,1,Bihar,RJD,
204,Shri  Hassan  Khan,24,2,1,Jammu and Kashmir,IND,
205,Shri  Sadashivrao Dadoba  Mandlik,9,17,1,Maharashtra,IND,
206,Shri  R.  Thamaraiselvan,23,3,1,Tamil Nadu,DMK,
