Id,Name,DaysSigned,DaysMissed,Gender,State,Party,Constituency
3,Smt.  Sonia  Gandhi,5,2,0,Uttar Pradesh,INC,Rai Bareli
8,Shri  M. Veerappa  Moily,1,6,1,Karnataka,INC,Chikballapur
11,Shri  Ajit  Singh,7,0,1,Uttar Pradesh,RJD,Baghpat
12,Shri  Mallikarjun  Kharge,1,6,1,Karnataka,INC,Gulbarga
14,Shri  Paban Singh  Ghatowar,7,0,1,Assam,INC,Dibrugarh
17,Dr.  C. P.  Joshi,2,5,1,Rajasthan,INC,Bhilwara
24,Shri  V. Kishore Chandra S.  Deo,6,1,1,Andhra Pradesh,INC,Aruku
25,Shri  Beni Prasad  Verma,7,0,1,Uttar Pradesh,INC,Gonda
26,Shri  Dinsha  Patel,1,6,1,Gujarat,INC,Kheda
28,Shri  M.M.  Pallam  Raju,1,6,1,Andhra Pradesh,INC,Kakinada
29,Shri  Harish  Rawat,5,2,1,Uttarakhand,INC,Hardwar
30,Smt.  Chandresh  Kumari,7,0,0,Rajasthan,INC,Jodhpur
32,Prof.  K.V.  Thomas,7,0,1,Kerala,INC,Ernakulam
35,Shri  Bharatbhai Madhavsinh  Solanki,3,4,1,Gujarat,INC,
38,Shri  Jitender  Singh,7,0,1,Haryana,INC,Sonipat
39,Shri  Manish  Tewari,5,2,1,Punjab,INC,Ludhiana
41,Shri  Mullappally  Ramachandran,7,0,1,Kerala,INC,Vadakara
43,Smt.  D.  Purandeswari,1,6,0,Andhra Pradesh,INC,Visakhapatnam
46,Shri  S.S.  Palanimanickam,2,5,1,Tamil Nadu,DMK,Thanjavur
48,Smt.    Preneet Kaur,5,2,0,Punjab,INC,Patiala
51,Shri  S.  Gandhiselvan,1,6,1,Tamil Nadu,DMK,Namakkal
52,Dr.  Tusharbhai   A.  Chaudhari,6,1,1,Gujarat,INC,Bardoli
53,Shri  Pratik  Patil,6,1,1,Maharashtra,INC,Sangli
54,Shri  R.P.N.  Singh,3,4,1,Uttar Pradesh,INC,Kushinagar
55,Dr.  Shashi  Tharoor,4,3,1,Kerala,INC,Thiruvananthapuram
56,Shri  Pradeep  Jain   Aditya,1,6,1,Uttar Pradesh,INC,Jhansi
57,Shri  K. C.  Venugopal,7,0,1,Kerala,INC,Alappuzha
58,Dr.  Charan Das  Mahant,7,0,1,Chattisgarh,INC,Korba
59,Shri  Milind  Deora,3,4,1,Maharashtra,INC,Mumbai South
60,Shri    Kodikunnil  Suresh,5,2,1,Kerala,INC,Mavelikkara
62,Shri  K. J.S.P.  Reddy,4,3,1,Andhra Pradesh,INC,
63,Shri  A.H.   Khan  Choudhury,6,1,1,West Bengal,INC,Maldaha Dakshin
64,Shri  Adhir Ranjan  Chowdhury,5,2,1,West Bengal,INC,Baharampur
65,Smt.  Ranee  Narah,7,0,0,Assam,INC,Lakhimpur
66,Shri   Sarvey  Sathyanarayana,7,0,1,Andhra Pradesh,INC,
67,Shri  Ninong  Ering,7,0,1,Arunachal Pradesh,INC,
68,Smt.  Deepa  Dasmunsi,5,2,0,West Bengal,INC,
69,Shri  P.  Balram  Naik,6,1,1,Andhra Pradesh,INC,
70,Dr.  Krupa Rani  Killi,6,1,0,Andhra Pradesh,INC,
71,Shri  Lal Chand  Kataria,7,0,1,Rajasthan,INC,
72,Shri  Sandeep  Dikshit,6,1,1,NCT of Delhi,INC,
73,Shri  J.M.  Aaron Rashid,5,2,1,Tamil Nadu,INC,
74,Shri  Arun  Yadav,4,3,1,Madhya Pradesh,INC,
75,Shri  Naveen  Jindal,6,1,1,Haryana,INC,
76,Shri  Madhu Goud  Yaskhi,6,1,1,Andhra Pradesh,INC,
77,Shri  Satpal  Maharaj,7,0,1,Uttarakhand,INC,
78,Shri  Vincent H.  Pala,7,0,1,Uttarakhand,INC,
78,Shri  Vijay  Bahuguna,7,0,1,Uttarakhand,INC,
78,Shri  Vincent H.  Pala,7,0,1,Meghalaya,INC,
78,Shri  Vijay  Bahuguna,7,0,1,Meghalaya,INC,
79,Shri  Madan Lal  Sharma,7,0,1,Jammu and Kashmir,INC,
80,Chaudhary  Lal  Singh,6,1,1,Jammu and Kashmir,INC,
81,Shri  Mohammed  Azharuddin,7,0,1,Uttar Pradesh,INC,
82,Shri  Hamdullah  Sayeed,6,1,1,Lakshadweep,INC,
83,Shri  Ashok  Tanwar,7,0,1,Haryana,INC,
84,Shri  K.C.  Singh Baba,6,1,1,Uttarakhand,INC,
85,Shri  Vijay Inder  Singla,5,2,1,Punjab,INC,
88,Shri  Sabbam  Hari,4,3,1,Andhra Pradesh,INC,
89,Shri  Ravneet  Singh,5,2,1,Punjab,INC,
90,Shri  Mahabal  Mishra,7,0,1,NCT of Delhi,INC,
91,Shri  Ramesh  Kumar,7,0,1,NCT of Delhi,INC,
92,Shri  Ismail Hussain,7,0,1,Assam,INC,
93,Shri  Mohammad Asrarul  Haque,7,0,1,Bihar,INC,
94,Shri  Takam  Sanjoy,7,0,1,Arunachal Pradesh,INC,
95,Shri  Mahadev  Singh,3,4,1,Rajasthan,INC,
97,Shri  P.  Viswanathan,6,1,1,Tamil Nadu,INC,
98,Shri  Sheesh Ram  Ola,5,2,1,Rajasthan,INC,
99,Shri  T.R.  Baalu,7,0,1,Tamil Nadu,DMK,
100,Shri  Vilasrao Baburao  Muttemwar,2,5,1,Maharashtra,INC,
101,Shri  Manikrao Hodlya  Gavit,3,4,1,Maharashtra,INC,
102,Shri  Suresh  Kalmadi,7,0,1,Maharashtra,INC,
104,Shri  A. Sai Prathap,2,5,1,Andhra Pradesh,INC,Rajampet
106,Dr.    Chinta Mohan,7,0,1,Andhra Pradesh,INC,Tirupathi
107,Shri  Biren Singh  Engti,7,0,1,Assam,INC,
108,Dr.  Kavuri Samba Siva  Rao,6,1,1,Andhra Pradesh,INC,Eluru
110,Shri  Jai Prakash  Agarwal,7,0,1,NCT of Delhi,INC,
111,Shri  Virbhadra  Singh,3,4,1,Himachal Pradesh,INC,
112,Shri  Datta  Meghe,6,1,1,Maharashtra,INC,
113,Shri   Rayapati S.  Rao,4,3,1,Andhra Pradesh,INC,Guntur
115,Dr.  Manda  Jagannath,6,1,1,Andhra Pradesh,INC,Nagarkurnool
